Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Аккумуляторный шуруповерт ELITECH ДА 14 СЛК2 (4,0Ач) [187813];140542;6090.0;14.4;38.0;10;25;1.5;4.0;Сверление;щеточный;бытовой;350;1250;350;1250;1.5
Аккумуляторный шуруповерт ELITECH ДА 18 УБЛ2 ударная, без АКБ и ЗУ [191607];140881;5490.0;18.0;75.0;13;32;1.6;2.0;Сверление/сверлениесударом;бесщеточный;бытовой;500;2000;500;2000;0.8
Аккумуляторная дрель-шуруповерт ELITECH ДА 14 СЛ2 (2,0А.ч.) [191614];140884;6590.0;14.4;38.0;10;25;1.6;2.0;Сверление;щеточный;бытовой;350;1250;350;1250;1.5
Аккумуляторная дрель-шуруповерт ELITECH ДА 18 СЛ2 (2,0А.ч.) [191617];140888;8990.0;18.0;45.0;13;32;1.6;2.0;Сверление;щеточный;бытовой;350;1250;350;1250;1.5
Аккумуляторный шуруповерт ELITECH ДА 12 БЛ2 (2 А.ч.) [191605];140909;8990.0;12.0;35.0;10;25;1.1;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Аккумуляторная дрель-шуруповерт ELITECH ДА 12 БЛ2 (4 А.ч.) [191606];140923;9990.0;12.0;35.0;10;25;1.4;4.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Аккумуляторный шуруповерт ELITECH ДА 14 СЛ2 (4,0А.ч.) [191615];140925;6490.0;14.4;38.0;10;25;1.9;4.0;Сверление;щеточный;бытовой;350;1250;350;1250;1.5
Аккумуляторная дрель-шуруповерт ELITECH ДА 18 УБЛ2 ударная (4,0А.ч.) [191609];140951;16990.0;18.0;75.0;13;32;2.2;4.0;Сверление/сверлениесударом;бесщеточный;бытовой;500;2000;500;2000;0.8
Аккумуляторный шуруповерт METABO BS 18 LTХ BL i 1х4,0 Ач АКБ бесщеточная [T0350];141775;17669.0;18.0;130.0;13;65;2.3;4.0;Сверление;бесщеточный;;500;1850;500;1850;1.5
Аккумуляторный шуруповерт BOSCH GSR 12V-35 бесщеточная, без АКБ и ЗУ [06019H8000];142616;11735.0;12.0;35.0;10;32;0.75;;Сверление;бесщеточный;;460;1750;460;1750;1.5
Аккумуляторная дрель-шуруповерт METABO BS 18 LTХ Impuls 1х4,0 Ач АКБ [T03470];131527;27126.0;18.0;110.0;13;65;4.0;;Сверление;щеточный;;500;1700;500;1700;1.5
Аккумуляторная дрель-шуруповерт METABO BS 18 LTХ BL i 1х4,0 Ач АКБ бесщеточная [T03501];141775;28743.0;18.0;130.0;13;65;2.3;4.0;Сверление;бесщеточный;;500;1850;500;1850;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX-3 BL i бесщеточная, без АКБ и ЗУ, metaBOX [602356840];116663;37099.0;18.0;120.0;13;65;2.6;;Сверление/сверлениесударом;бесщеточный;;600;2050;600;2050;1.5
Аккумуляторный шуруповерт MAKITA DF 457 DWEX8 [DF457DWEX8];145210;12610.0;18.0;42.0;13;36;1.7;1.5;Сверление;щеточный;профессиональный;400;1400;400;1400;1.3
Аккумуляторный шуруповерт METABO BS 18 LTХ BL i 1x5.5 Ач, бесщеточная [T03901];145702;31108.0;18.0;130.0;13;65;2.3;5.5;Сверление;бесщеточный;;500;1850;500;1850;1.5
Аккумуляторная дрель-шуруповерт METABO BS 18 LT BL Quick 2x4.0 Ач LiHD, бесщеточная [602334800];145746;43582.0;18.0;75.0;13;38;1.5;;Сверление;бесщеточный;;600;2100;600;2100;1.5
Аккумуляторный шуруповерт METABO BS 18 LTХ Impuls без АКБ и ЗУ, Metaloc [602191840];145748;20547.0;18.0;110.0;13;65;2.0;;Сверление;щеточный;;500;1700;500;1700;1.5
Дрель-шуруповерт аккумуляторная METABO PowerMaxx SB 12 BL ударная, бесщеточная, без АКБ и ЗУ [601077890];145757;13079.0;12.0;45.0;10;25;1.1;;Сверление/сверлениесударом;бесщеточный;;500;1650;500;1650;1.5
Аккумуляторная дрель-шуруповерт METABO PowerMaxx BS 12 без АКБ и ЗУ [601036890];146064;7165.0;12.0;40.0;10;18;1.0;;Сверление;щеточный;;360;1400;360;1400;1.5
Аккумуляторная отвертка BOSCH IXO Medium c угловой насадкой [06039A8021];119498;5889.0;3.6;4.5;;;0.3;1.3;;;;215;;;;
Отвертка аккумуляторная BOSCH IXO [06039A8020];119500;4214.0;3.6;4.5;;;0.3;1.3;;;;215;;;;
Аккумуляторная отвертка BOSCH IXO V + Lino [06039A800M];140309;4307.0;3.6;4.5;;;0.3;1.3;;;;215;;;;
Отвертка аккумуляторная BOSCH IXO V [06039A800R];145455;4026.0;3.6;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная DEKO DKCD12FU-Li 104 tools (063-4104) [063-4104];146549;6640.0;12.0;28.0;10;20;2.7;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD12FU-Li 1.5Ahx2 63 tools (063-4101) [063-4101];146557;2987.0;12.0;28.0;10;20;2.25;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO DKS4 и набор 36 Tools Kit (063-4109) [063-4109];146561;2570.0;4.0;4.0;10;28;1.35;1.3;Заворачиваниешурупов;щеточный;бытовой;180;;180;;0.8
Аккумуляторная отвертка BOSCH IXO VI Colour [06039C7022];146744;4190.0;3.6;4.5;;;0.35;1.5;;;;215;;;;
Дрель-шуруповерт аккумуляторная BOSCH GSB 18 V-50 ударная [06019H5120] L-Case, 2х2,0 Ач;152392;20562.0;18.0;50.0;13;35;1.5;2.0;Сверление/сверлениесударом;бесщеточный;;460;1800;460;1800;1.5
Дрель-шуруповерт аккумуляторная BOSCH ANGLE EXACT ION 15-500 угловая, без АКБ и ЗУ [060249460A] Коробка;95168;205758.0;18.0;15.0;;;1.7;;Заворачиваниешурупов;бесщеточный;;;;;;
Дрель-шуруповерт аккумуляторная BOSCH EXACT ION 12-700 без АКБ и ЗУ [0602494404] Коробка;95735;59811.0;18.0;12.0;;;1.3;;Заворачиваниешурупов;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная BOSCH ANGLE EXACT ION 6-1500 без АКБ и ЗУ [0602494402] Коробка;109540;60139.0;18.0;6.0;;;1.7;;Заворачиваниешурупов;;;;;;;
Дрель-шуруповерт аккумуляторная STANLEY SBI201D2K импульсная, ударная, бесщеточная [SBI201D2K-RU];135339;16341.0;18.0;160.0;;;1.45;2.0;Сверление/сверлениесударом;бесщеточный;бытовой;2700;;2700;;
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS 12 BL бесщеточная, без АКБ и ЗУ [601038890];146063;11360.0;12.0;45.0;10;25;1.0;;Сверление;бесщеточный;;500;1650;500;1650;1.5
Дрель-шуруповерт аккумуляторная PATRIOT BR 187UES [180301547];153876;5090.0;18.0;25.0;8;20;;;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 3 в 1 с 2 патронами, 2 аккум (063-4082) [063-4082];155009;3215.0;12.0;32.0;10;25;1.8;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная BOSCH GSB 12V-30 ударная, бесщеточная, без АКБ и ЗУ [06019G9102];158702;9310.0;12.0;30.0;10;20;0.82;;Сверление/сверлениесударом;бесщеточный;;420;1600;420;1600;1.0
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-14,4-2 [900/72/14/3];158765;2955.0;14.4;28.0;10;25;1.9;1.3;Сверление;щеточный;бытовой;350;1250;350;1250;0.8
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-14,4-2К [900/72/14/4];158766;3014.0;14.4;28.0;10;30;3.2;1.3;Сверление;щеточный;бытовой;350;;350;;0.8
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-18-2К [900/72/14/5];158767;4160.0;18.0;32.0;12;30;3.5;1.5;Сверление;щеточный;бытовой;350;1250;350;1250;1.0
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-14,4-1к [900/72/14/13];158768;3229.0;14.4;22.0;10;25;2.8;1.5;Сверление;щеточный;бытовой;350;;350;;0.8
Шуруповерт аккумуляторный MAKITA DFS 452 TJX2 бесщеточный [DFS452TJX2];167735;46250.0;18.0;;;;1.5;;Заворачиваниешурупов;бесщеточный;профессиональный;4000;;4000;;
Дрель-шуруповерт аккумуляторная STANLEY SBD201M2K бесщеточная [SBD201M2K-RU];168470;13763.0;18.0;55.0;13;35;1.8;4.0;Сверление;бесщеточный;бытовой;430;1700;430;1700;1.5
Дрель-шуруповерт аккумуляторная HiKOKI DS 18 DJL [DS18DJLRFZ];170803;8900.0;18.0;54.0;13;38;1.7;1.5;Сверление;щеточный;профессиональный;450;1250;450;1250;1.5
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 + набор инструментов для дома 104 шт. (063-4095) [063-4095];169021;4814.4;12.0;32.0;10;25;2.75;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 + набор инструментов 195 шт. (063-4134) [063-4134];169025;7710.0;12.0;32.0;10;25;4.1;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 быстросъемный патрон (063-4081) [063-4081];169027;2280.0;12.0;32.0;10;25;1.1;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD20FU-L + набор 193 аксессуара (063-4143) [063-4143];169029;5611.0;20.0;42.0;10;25;3.8;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD12FU-Li + набор инструментов для дома 104 шт (063-4112) [063-4112];169032;4790.0;12.0;28.0;10;20;2.7;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD20DU3 + оснастка 13 шт. (2х1,5 А.ч.) (063-4142) [063-4142];169038;4677.0;20.0;42.0;10;28;2.1;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD20DU3 (1х2.0 А.ч.) (063-4144) [063-4144];169039;3206.0;20.0;42.0;10;28;2.1;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD20DU3 + оснастка 13 шт. (063-4145) [063-4145];169040;8190.0;20.0;42.0;10;28;2.1;3.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная BOSCH GSR 18 V-110 C бесщеточный [06019G010C] 2х5.0 Ач, L-Boxx;171132;46162.0;18.0;110.0;13;82;2.8;5.0;Сверление;бесщеточный;;480;2100;480;2100;1.5
Дрель-шуруповерт аккумуляторная BOSCH GSB 18 V-110 C ударная, бесщеточная [06019G030D] 2х5.0 Ач, L-Boxx;171916;49940.0;18.0;110.0;13;82;2.8;5.0;Сверление/сверлениесударом;бесщеточный;;480;2100;480;2100;1.5
Дрель-шуруповерт аккумуляторная BOSCH GSB 18 V-110 C ударная, бесщеточная [06019G030A] без АКБ и ЗУ, L-Boxx;171916;26741.0;18.0;110.0;13;82;2.8;5.0;Сверление/сверлениесударом;бесщеточный;;480;2100;480;2100;1.5
Дрель-шуруповерт аккумуляторная MAKITA DDF 481 RF 1х3.0 Ач [DDF481RF];172924;24190.0;18.0;115.0;13;76;2.6;3.0;Сверление;бесщеточный;профессиональный;550;2100;550;2100;1.5
Дрель-шуруповерт аккумуляторная ФИОЛЕНТ ДША1-10-РЭ5-18В [ИДФР298114005-02];173117;5915.0;18.0;25.0;10;24;1.2;2.0;Сверление;щеточный;бытовой;350;1300;350;1300;1.0
Дрель-шуруповерт аккумуляторная ФИОЛЕНТ ДША1-10-РЭ5-14В [ИДФР298114005-01];173119;5515.0;14.4;24.0;10;24;1.2;2.0;Сверление;щеточный;бытовой;350;1300;350;1300;1.0
Дрель-шуруповерт аккумуляторная ФИОЛЕНТ ДША1-10-РЭ5-12В [ИДФР298114005];173121;4765.0;12.0;23.0;10;24;1.2;2.0;Сверление;щеточный;бытовой;350;1300;350;1300;1.0
Дрель-шуруповерт аккумуляторная DEKO Banger 12V (063-4169) [063-4169];172903;3680.0;12.0;26.0;10;25;1.15;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO Banger 12v + набор инструмента 93 предмета (063-4167) [063-4167];172901;4520.0;12.0;26.0;10;25;2.23;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная BOSCH GSR 18 V-110 C бесщеточный, без АКБ и ЗУ [06019G0109];174786;24658.0;18.0;110.0;13;82;;;Сверление;бесщеточный;;480;2100;480;2100;1.5
Дрель-шуруповерт аккумуляторная DeWALT DCD 709 D2T ударная, бесщеточная [DCD709D2T-QW];175700;35508.0;;65.0;;;1.2;2.0;Сверление/сверлениесударом;;;450;1650;450;1650;1.5
Дрель-шуруповерт аккумуляторная STURM CD3214L;168696;4390.0;14.4;26.0;10;20;1.04;2.0;Сверление;щеточный;бытовой;350;1300;350;1300;0.8
Дрель-шуруповерт аккумуляторная STURM CD3214LT;168697;5250.0;14.4;28.0;10;20;1.04;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3218LT;168700;8490.0;18.0;31.0;10;20;1.12;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3218L;168701;6450.0;18.0;31.0;10;20;1.18;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3318LP;168702;7250.0;18.0;30.0;10;20;1.1;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3220LT;168704;5040.0;20.0;32.0;10;20;1.12;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3220L;168705;6290.0;20.0;32.0;10;20;1.12;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3212L;168693;5490.0;12.0;26.0;10;20;1.08;2.0;Сверление;щеточный;бытовой;350;1300;350;1300;0.8
Дрель-шуруповерт аккумуляторная STURM CD3212LT;168694;5550.0;12.0;26.0;10;20;1.0;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3220LI;168706;5200.57;20.0;32.0;10;20;1.8;2.0;Сверление/сверлениесударом;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3220BL;168707;7150.0;20.0;45.0;13;30;1.8;2.0;Сверление;бесщеточный;бытовой;500;1800;500;1800;0.8
Дрель-шуруповерт аккумуляторная STURM CD3220BLI;168708;7550.0;20.0;45.0;13;30;1.34;2.0;Сверление/сверлениесударом;бесщеточный;бытовой;500;1800;500;1800;0.8
Дрель-шуруповерт аккумуляторная METABO SB 18 LT BL 2x4.0 Ач, ударная, бесщеточная [602316800];180011;35179.0;18.0;75.0;13;38;1.8;4.0;Сверление/сверлениесударом;бесщеточный;;600;2100;600;2100;1.5
Дрель-шуруповерт аккумуляторная BOSCH GSR 12V-35 HX бесщеточная [06019J9101] 2х3.0 Ач, Картон;180051;20186.0;12.0;35.0;70;32;0.57;3.0;Заворачиваниешурупов;бесщеточный;;460;1750;460;1750;
Дрель-шуруповерт аккумуляторная HiKOKI DS 14 DJL [DS14DJLRFZ];182024;7399.0;14.4;47.0;13;30;1.62;2.5;Сверление;;;450;1250;450;1250;1.0
Дрель-шуруповерт аккумуляторная METABO BS 18 LTХ BL Quick i бесщеточная, без АКБ и ЗУ [602359850];100460;29128.0;18.0;120.0;13;68;2.1;;;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт аккумуляторная METABO BS 18 LTX BL Quick i бесщеточная, без АКБ и ЗУ [602359840];131206;31273.0;18.0;130.0;13;68;2.1;;;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт аккумуляторная METABO BS 18 LTХ BL i бесщеточная, без АКБ и ЗУ [602358840];131212;26226.0;18.0;120.0;13;65;2.0;;Сверление;бесщеточный;;500;1850;500;1850;1.5
Дрель-шуруповерт аккумуляторная METABO BS 18 LTХ BL Quick i 2x5,5 Ач, бесщеточная [602359660];100458;62958.0;18.0;130.0;13;68;2.7;5.5;Сверление;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX BL i 2x4,0 Ач, ударная, бесщеточная [602360500];100470;45796.0;18.0;130.0;13;68;2.5;4.0;Сверление/сверлениесударом;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX BL i 2x5,2 Ач, ударная, бесщеточная [602360650];100473;49261.0;18.0;130.0;13;68;2.5;5.2;Сверление/сверлениесударом;бесщеточный;;550;2000;550;2000;1.5
"Дрель-шуруповерт аккумуляторная METABO SB 18 LTX BL i ударная, бесщеточная, без АКБ и ЗУ, Metabox [602360840] кейс ""Metabox""";100475;27230.0;18.0;130.0;13;68;2.2;;Сверление/сверлениесударом;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX BL Quick i 2x5,5 Ач, ударная, бесщеточная [602361660] Metabox;100480;68363.0;18.0;130.0;13;68;2.8;5.5;Сверление/сверлениесударом;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX BL i ударная, бесщеточная, без АКБ и ЗУ [602360850];183443;24136.0;18.0;130.0;13;68;2.2;;Сверление/сверлениесударом;бесщеточный;;550;2000;;;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX BL Quick i 2x5,2 Ач, ударная, бесщеточная [602361650];183444;61775.0;18.0;130.0;13;68;2.5;5.2;Сверление/сверлениесударом;бесщеточный;;550;2000;;;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX BL Quick i бесщеточная, без АКБ и ЗУ, Metaloc [602361840];131209;35289.0;18.0;130.0;13;68;2.2;;Сверление/сверлениесударом;бесщеточный;;550;2200;550;2200;1.5
Дрель-шуруповерт аккумуляторная BOSCH EasyDrill 1200 без АКБ и ЗУ [06039D3005];188870;4767.0;12.0;30.0;8;20;0.94;;Сверление;;;;;;;
Отвертка аккумуляторная BOSCH PSR Select [0603977021];84002;5964.0;3.6;4.5;;;0.5;1.3;;;;210;;;;
Дрель-шуруповерт аккумуляторная METABO BS 18 LTХ BL Quick i 2x5,5 Ач,X3 бесщеточная [602359770] metaBox;100459;82995.0;18.0;130.0;13;68;2.7;5.5;Сверление;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт METABO BS 18 LTХ BL i 2x4.0 Ач, бесщеточная [602358500];189904;44655.0;18.0;130.0;13;68;2.3;4.0;Сверление;бесщеточный;;550;2000;;;1.5
Дрель-шуруповерт аккумуляторная METABO BS 18 LTХ BL i 2x5.2 Ач, бесщеточная [602358650];189907;47542.0;18.0;130.0;13;68;2.4;5.2;Сверление;бесщеточный;;550;2000;;;1.5
Дрель-шуруповерт аккумуляторная METABO BS 18 LTХ BL i 2x5.5 Ач LiHD, бесщеточная [602358660];189908;55807.0;18.0;130.0;13;68;2.7;5.5;Сверление;бесщеточный;;550;2000;;;1.5
Дрель-шуруповерт аккумуляторная METABO BS 18 LTХ BL Quick i 2x5,2 Ач, бесщеточная [602359650];189909;59658.0;18.0;130.0;13;68;2.4;5.2;Сверление;бесщеточный;;550;2000;;;1.5
Дрель-шуруповерт аккумуляторная METABO GB 18 LTХ BL Quick i 2x5,2 Ач, бесщеточная (Резьборез) [602362500];118340;62615.0;18.0;130.0;13;68;2.5;5.2;Сверление;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS 12 BL Quick бесщеточная, без АКБ и ЗУ [601039890];189910;14165.0;12.0;45.0;10;25;1.1;;Сверление;бесщеточный;;500;1650;;;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX BL Quick i бесщеточная, без АКБ и ЗУ [602361850];189912;30351.0;18.0;130.0;13;68;1.8;;Сверление/сверлениесударом;бесщеточный;;550;2000;;;1.5
Дрель-шуруповерт аккумуляторная METABO GB 18 LTХ BL Quick i бесщеточная, без АКБ и ЗУ (Резьборез) [602362840];131227;36788.0;18.0;130.0;13;68;2.2;;Сверление;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX Impuls 2х4,0, ударная [602192500];189913;46607.0;18.0;110.0;13;65;2.5;;Сверление/сверлениесударом;;;500;1700;;;1.5
Дрель-шуруповерт аккумуляторная METABO SB 18 LTX Quick ударная, без АКБ и ЗУ [602200840];189914;29197.0;18.0;110.0;13;65;2.2;;Сверление/сверлениесударом;щеточный;;500;1700;;;1.5
Дрель-шуруповерт аккумуляторная BOSCH GSR 18 V-60 C бесщеточная [06019G110D];133436;31779.0;18.0;60.0;13;38;1.7;5.0;Сверление;бесщеточный;;600;1900;600;1900;1.5
Дрель-шуруповерт аккумуляторная BOSCH EasyImpact 12 ударная, без АКБ и ЗУ [06039B6102];194966;6423.0;12.0;30.0;8;20;1.0;2.0;Сверление/заворачивание/сверлениесударом;;;400;1300;;;1.5
Дрель-шуруповерт аккумуляторная DeWALT DCF 840 D2T [DCF840D2T-QW];195921;28500.0;18.0;192.0;;;0.88;2.0;;бесщеточный;профессиональный;3200;;3200;;
Шуруповерт аккумуляторный MAKITA DTD 153 RT ударный, бесщеточный [DTD153RT];196007;35603.0;18.0;170.0;;;1.6;;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;3400;;3400;;
Дрель-шуруповерт аккумуляторная MAKITA DF 457 DWEX9 [199196];196702;13140.0;18.0;42.0;13;36;1.7;1.5;Сверление;щеточный;бытовой;400;1400;400;1400;1.3
Дрель-шуруповерт аккумуляторная ELITECH ДА 12СЛ2 [191611];168247;6690.0;12.0;25.0;10;20;1.3;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ELITECH ДА 12СЛ2 [191612];168248;8590.0;12.0;25.0;10;20;1.6;4.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная STURM CD3620T;204459;5050.0;20.0;31.0;12;30;2.8;2.0;2;щеточный;бытовой;400;1500;400;1500;10.0
Дрель-шуруповерт аккумуляторная ЗУБР DB-201-42 [дб0201-42];205756;16820.0;20.0;70.0;13;45;2.0;4.0;Сверление/заворачивание;бесщеточный;;500;1800;500;1800;1.0
Дрель-шуруповерт аккумуляторная MAKITA DDF 485 RAJ [DDF485RAJ];196632;20290.0;18.0;50.0;13;38;1.4;2.0;Сверление/заворачивание;бесщеточный;профессиональный;500;1900;500;1900;1.3
Дрель-шуруповерт аккумуляторная MAKITA DDF 485 RF3J [DDF485RF3J];196635;25890.0;18.0;50.0;13;38;1.4;3.0;Сверление/заворачивание;бесщеточный;профессиональный;500;1900;500;1900;1.3
Дрель-шуруповерт аккумуляторная MAKITA HP002GD201;205795;51057.0;40.0;65.0;13;38;2.5;4.0;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;600;2000;600;2000;1.5
Дрель-шуруповерт аккумуляторная BOSCH EasyDrill 1200 [06039D3007];119728;8763.0;12.0;30.0;8;20;1.0;1.5;Сверление;щеточный;;1650;;;;
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1838RI ударная;206790;14990.0;18.0;55.0;12;30;2.8;2.4;3;щеточный;полупрофессиональный;450;1600;450;1600;13.0
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-2 14,4ЭР/10Л [50024];210750;6080.0;14.4;32.0;10;25;1.15;1.5;Сверление;щеточный;;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-2 18ЭР/10ЛМ [50026];210752;6160.0;18.0;34.0;10;20;2.0;1.5;Сверление;щеточный;;350;1350;350;1350;0.8
Отвертка аккумуляторная STURM CD3404U1 USB набор бит, сумка, без ЗУ;204521;3290.0;3.6;2.0;;;0.51;1.3;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная ELITECH ДА 10.8СЛК2 [185388];168246;4215.0;10.8;;10;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная ELITECH ДА 18СЛК2 [185389];168249;3890.0;;;;;;;;;;;;;;
Дрель-шуруповерт аккумуляторная ELITECH ДА 12СЛ2 Промо [198029];202153;3690.0;12.0;23.0;10;20;1.0;1.7;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ELITECH ДА 18БЛ2 [198042];202155;11990.0;18.0;60.0;13;32;1.2;2.0;Сверление;бесщеточный;бытовой;500;2000;500;2000;2.0
Дрель-шуруповерт аккумуляторная ELITECH ДА 18БЛ2 [198043];202156;14990.0;18.0;60.0;13;32;1.5;4.0;Сверление;бесщеточный;бытовой;500;2000;500;2000;2.0
Дрель-шуруповерт аккумуляторная ELITECH ДА 18СЛ2 Промо [198031];202157;3790.0;18.0;30.0;13;32;1.2;1.7;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/12В МиниМАКС без АКБ и ЗУ бесщеточная [687.0.0.70];213636;4990.0;12.0;36.0;10;26;0.8;;Сверление/заворачивание;бесщеточный;профессиональный;420;1500;420;1500;0.8
Дрель-шуруповерт аккумуляторная DWT ASC-20 D-2H BMC ударный [5.2.54];206597;18708.0;20.0;170.0;14;40;1.72;4.0;;бесщеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная KOLNER KCD 14,4МА + кейс с набором инструментов [кн14,4ма];211420;4210.0;14.4;15.0;8;15;1.4;1.2;;щеточный;;550;;550;;
Дрель-шуруповерт аккумуляторная KOLNER KCD 14,4МС [кн14,4мс];211421;4075.0;14.4;15.0;8;15;1.4;1.2;;щеточный;;550;;550;;
Дрель-шуруповерт аккумуляторная KOLNER KCD 16,8С [кн16,8сн];211423;4210.0;16.8;16.0;8;16;1.5;1.2;;щеточный;;550;;550;;
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS BL Quick 2x2.0 Ач бесщеточная [601749500];214844;13615.0;12.0;38.0;10;32;0.9;;Сверление/заворачивание;бесщеточный;;400;1500;;;1.0
Дрель-шуруповерт аккумуляторная OASIS ASU-12A [4640039483342];214026;6853.0;12.0;40.0;16;20;;2.0;;Асинхронный;;400;1400;400;1400;
Дрель-шуруповерт аккумуляторная OASIS ASU-14A [4640039483359];214027;7832.0;14.0;45.0;16;25;;2.0;;Асинхронный;;400;1400;400;1400;
Дрель-шуруповерт аккумуляторная OASIS AS-12V [4640039480150];214034;3805.0;12.0;22.0;10;21;;2.0;;;;350;;350;;
Дрель-шуруповерт аккумуляторная OASIS AS-14V [4640039480167];214035;4006.0;14.0;;;;;2.0;;;;;;;;
Дрель-шуруповерт аккумуляторная OASIS AS-18V [4640039480174];214036;3417.0;18.0;30.0;10;25;;2.0;;;;400;1450;400;1450;
